Nombre del gen;Nombres alternativos;Clase;Antibiotico;Mecanismo;Database;Organismo;RefSeq Sequence Reference;Genbank Accession Number;CARD Accession;Enlace
Erm(42);Erm42;Macrolide, Lincosamide, Streptogramin;Multidrug;Alteration;CARD;Pasteurella multocida;NG_047785.1;FR734406.1;ARO:3003106;https://www.ncbi.nlm.nih.gov/nuccore/FR734406.1
ErmA;ermTR;Macrolide, Lincosamide, Streptogramin;Erythromycin;Alteration;CARD;Staphylococcus aureus;NG_047789.1;X03216.1;ARO:3000347;https://www.ncbi.nlm.nih.gov/nuccore/X03216.1
ErmB;ermBC, erm, ermBP, ermAM, ermBZ1, ermP, ermBZ2, ermIP, ermAMR, erm2;Macrolide, Lincosamide, Streptogramin;Erythromycin;Alteration;CARD;Enterococcus faecium;NG_047801.1;AF242872.1;ARO:3000375;https://www.ncbi.nlm.nih.gov/nuccore/AF242872.1
ErmC;ErmC', ermIM, ermM;Macrolide, Lincosamide, Streptogramin;Erythromycin;Alteration;CARD;Staphylococcus epidermidis;NG_047807.1;M12730.1;ARO:3000250;https://www.ncbi.nlm.nih.gov/nuccore/M12730.1
ErmD;ermJ, ermK;Macrolide, Lincosamide, Streptogramin;Multidrug;Alteration;CARD;Bacillus anthracis;NG_047819.1;L08389.1;ARO:3000495;https://www.ncbi.nlm.nih.gov/nuccore/L08389.1
ErmE;ermE2;Macrolide, Lincosamide, Streptogramin;Erythromycin;Alteration;CARD;Saccharopolyspora erythraea NRRL 2338;NG_047822.1;X51891.1;ARO:3000326;https://www.ncbi.nlm.nih.gov/nuccore/X51891.1
ErmF;ermFU, ermFS;Macrolide, Lincosamide, Streptogramin;Multidrug;Alteration;CARD;Bacteroides fragilis;;M17124.1;ARO:3000498;https://www.ncbi.nlm.nih.gov/nuccore/M17124
ErmG;;Macrolide, Lincosamide, Streptogramin;Multidrug;Alteration;CARD;Bacteroides thetaiotaomicron;NG_047828.1;L42817.1;ARO:3000522;https://www.ncbi.nlm.nih.gov/nuccore/L42817.1
ErmQ;;Macrolide, Lincosamide, Streptogramin;Multidrug;Alteration;CARD;Clostridium perfringens;NG_047835.1;L22689.1;ARO:3000593;https://www.ncbi.nlm.nih.gov/nuccore/L22689.1
ErmT;ermGT;Macrolide, Lincosamide, Streptogramin;Multidrug;Alteration;CARD;Plasmid pGT633;NG_047838.1;M64090.1;ARO:3000595;https://www.ncbi.nlm.nih.gov/nuccore/M64090.1
ErmW;myrB;Macrolide, Lincosamide, Streptogramin;Mycinamicin;Alteration;CARD;Micromonospora griseorubida;NG_047846.1;D14532.1;ARO:3001306;https://www.ncbi.nlm.nih.gov/nuccore/D14532.1
ErmX;ermCD, ermCX;Macrolide, Lincosamide, Streptogramin;Multidrug;Alteration;CARD;Plasmid pNG2;NG_047848.1;M36726.1;ARO:3000596;https://www.ncbi.nlm.nih.gov/nuccore/M36726.1
ErmY;ErmGM;Macrolide, Lincosamide, Streptogramin;Multidrug;Alteration;CARD;Staphylococcus aureus;NG_047855.1;AB014481.1;ARO:3002825;https://www.ncbi.nlm.nih.gov/nuccore/AB014481.1
evgS;rocS1;Penam, Macrolide, Fluoroquinolone, Tetracycline;Multidrug;Efflux;CARD;Escherichia coli str. K-12 substr. MG1655;;U00096.3;ARO:3000833;https://www.ncbi.nlm.nih.gov/nuccore/U00096
fexA;;Phenicol;Chloramphenicol;Efflux;CARD;Staphylococcus lentus;NG_047857.1;AJ549214.1;ARO:3002704;https://www.ncbi.nlm.nih.gov/nuccore/AJ549214.1
floR;;Phenicol;Chloramphenicol;Efflux;CARD;Escherichia coli;NG_047862.1;AF231986.2;ARO:3002705;https://www.ncbi.nlm.nih.gov/nuccore/AF231986.2
folA;;Diaminopyrimidine;Trimethoprim;;UNIPROT/ENA;Escherichia coli;;AAA87976.1;ARO:3000745;https://www.ncbi.nlm.nih.gov/protein/AAA87976
FosB;;Fosfomycin;Fosfomycin;Inactivation;CARD;Bacillus cereus ATCC 14579;NG_055636.1;AE016877.1;ARO:3000172;https://www.ncbi.nlm.nih.gov/nuccore/AE016877.1
FOX-1;;Cephalosporin, Cephamycin;Beta-lactam;Inactivation;CARD;Klebsiella pneumoniae;NG_049098.1;X77455.1;ARO:3002155;https://www.ncbi.nlm.nih.gov/nuccore/X77455.1
FOX-5;FOX-6;Cephalosporin, Cephamycin;Beta-lactam;Inactivation;CARD;Klebsiella pneumoniae;NG_049105.1;AY007369.1;ARO:3002159;https://www.ncbi.nlm.nih.gov/nuccore/AY007369.1
GES-1;;Cephalosporin, Penam, Carbapenem;Beta-lactam;Inactivation;CARD;Klebsiella pneumoniae;NG_049111.1;AF156486.1;ARO:3002330;https://www.ncbi.nlm.nih.gov/nuccore/AF156486.1
IMP-1;;Cephalosporin, Penam, Carbapenem, Cephamycin, Penem;Beta-lactam;Inactivation;CARD;Pseudomonas aeruginosa;;AJ223604.1;ARO:3002192;https://www.ncbi.nlm.nih.gov/nuccore/AJ223604
IMP-33;;Cephalosporin, Penam, Carbapenem, Cephamycin, Penem;Beta-lactam;Inactivation;CARD;Pseudomonas aeruginosa;NG_049198.1;JN848782.2;ARO:3002224;https://www.ncbi.nlm.nih.gov/nuccore/JN848782.2
kdpE;;Aminoglycoside;;Efflux;CARD;Escherichia coli str. K-12 substr. MG1655;;U00096.3;ARO:3003841;https://www.ncbi.nlm.nih.gov/nuccore/U00096
lmrB;;Lincosamide;Lincomycin;Efflux;CARD;Bacillus subtilis;;JYFL01000006.1;ARO:3002813;https://www.ncbi.nlm.nih.gov/nuccore/JYFL01000006.1
lmrC;ydaG;Phenicol, Lincosamide, Tetracyclin, Pleuromutilin, Oxazolidinone, Streptogramin, Macrolide;Fosfomycin;Protection;CARD;Streptomyces lincolnensis;;EU124663.1;ARO:3002881;https://www.ncbi.nlm.nih.gov/nuccore/EU124663.1
lmrD;ydbA;Lincosamide;Multidrug;Efflux;CARD;Lactococcus lactis;;CP033607.1;ARO:3002882;https://www.ncbi.nlm.nih.gov/nuccore/CP033607.1
lnuA;linA;Lincosamide;;Inactivation;CARD;Staphylococcus haemolyticus;;M14039.1;ARO:3002835;https://www.ncbi.nlm.nih.gov/nuccore/M14039.1
lnuB;linB;Lincosamide;;Inactivation;CARD;Enterococcus faecium;;AJ238249.1;ARO:3002836;https://www.ncbi.nlm.nih.gov/nuccore/AJ238249.1
lnuC;linC;Lincosamide;Lincomycin;Inactivation;CARD;Streptococcus agalactiae;;AY928180.1;ARO:3002837;https://www.ncbi.nlm.nih.gov/nuccore/AY928180
lnuD;linD;Lincosamide;Lincomycin;Inactivation;CARD;Streptococcus uberis;;EF452177.1;ARO:3002838;https://www.ncbi.nlm.nih.gov/nuccore/EF452177
lnuE;linE;Lincosamide;Lincomycin;Inactivation;CARD;synthetic construct;;KF287643.1;ARO:3003762;https://www.ncbi.nlm.nih.gov/nuccore/KF287643
lsaE;;Lincosamide, Pleuromutilin, Oxazolidinone, Phenicol, Macrolide, Streptogramin, Tetracycline;Pleuromutilin, Lincosamide, Streptogramin A;Protection;CARD;Enterococcus faecalis;;AF408195.1;ARO:3003206;https://www.ncbi.nlm.nih.gov/nuccore/AF408195.1
macA;pvdR;Macrolide;;Efflux;CARD;Neisseria gonorrhoeae;;AY768531.1;ARO:3000533;https://www.ncbi.nlm.nih.gov/nuccore/AY768531
macB;pvdT;Macrolide;;Efflux;CARD;Neisseria gonorrhoeae;;AY768532.1;ARO:3000535;https://www.ncbi.nlm.nih.gov/nuccore/AY768532
marR;;Tetracycline, Glycylcycline, Cephalosporin, Phenicol, Rifamycin, Penam, Triclosan, Fluoroquinolone;Multidrug;Efflux, Alteration;CARD;Escherichia coli str. K-12 substr. MG1655;;U00096.3;ARO:3000718;https://www.ncbi.nlm.nih.gov/nuccore/U00096
MCR-1;MCR-1.1;Peptide;Colistin;Alteration;CARD;Escherichia coli;NG_050417.1;KP347127.1;ARO:3003689;https://www.ncbi.nlm.nih.gov/nuccore/KP347127.1
MCR-2;MCR-2.1;Peptide;Colistin;Alteration;CARD;Escherichia coli;NG_051171.1;LT598652.1;ARO:3004110;https://www.ncbi.nlm.nih.gov/nuccore/LT598652.1
MCR-3;MCR-3.1;Peptide;Colistin;Alteration;CARD;Escherichia coli;NG_055505.1;KY924928.1;ARO:3004139;https://www.ncbi.nlm.nih.gov/nuccore/KY924928.1
mdtA;yegM;Aminocoumarin;Multidrug;Efflux;CARD;Escherichia coli str. K-12 substr. MG1655;;U00096.3;ARO:3000792;https://www.ncbi.nlm.nih.gov/nuccore/U00096
mdtB;yegN;Aminocoumarin;Multidrug;Efflux;CARD;Escherichia coli str. K-12 substr. MG1655;;U00096.3;ARO:3000793;https://www.ncbi.nlm.nih.gov/nuccore/U00096
mdtC;yegO, muxC, muxB;Aminocoumarin;Multidrug;Efflux;CARD;Escherichia coli str. K-12 substr. MG1655;;U00096.3;ARO:3000794;https://www.ncbi.nlm.nih.gov/nuccore/U00096
mdtD;yegB, iceT;Aminocoumarin;Multidrug;Efflux;UNIPROT/ENA;Escherichia coli str. K-12 substr. MG1655;;AAC75138.1;;https://www.ncbi.nlm.nih.gov/protein/AAC75138
mdtE;YhiU;Fluoroquinolone, Macrolide, Penam;Multidrug;Efflux;CARD;Escherichia coli str. K-12 substr. W3110;;AP009048.1;ARO:3000795;https://www.ncbi.nlm.nih.gov/nuccore/AP009048
mdtF;YhiV;Fluoroquinolone, Macrolide, Penam;Multidrug;Efflux;CARD;Escherichia coli str. K-12 substr. MG1655;;U00096.3;ARO:3000796;https://www.ncbi.nlm.nih.gov/nuccore/U00096
mdtG;yceE;Fosfomycin;Fosfomycin, Deoxycholate;Efflux;CARD;Escherichia coli O139:H28 str. E24377A;;CP000800.1;ARO:3001329;https://www.ncbi.nlm.nih.gov/nuccore/CP000800.1
mdtH;yceL;Fluoroquinolone;Multidrug;Efflux;CARD;Escherichia coli str. K-12 substr. MG1655;;U00096.3;ARO:3001216;https://www.ncbi.nlm.nih.gov/nuccore/U00096
mdtK;NorE, YdhE, norM;Fluoroquinolone;Norfloxacin, Doxorubicin, Acriflavine;Efflux;CARD;Salmonella enterica subsp. enterica serovar Typhimurium;;CP014358.1;ARO:3001327;https://www.ncbi.nlm.nih.gov/nuccore/CP014358.1
mdtL;yidY, ECK3703;;Multidrug;Efflux;UNIPROT/ENA;Escherichia coli str. K-12 substr. MG1655;;AAC76733.1;ARO:3001215;https://www.ncbi.nlm.nih.gov/protein/AAC76733
mdtM;ECK4328, JW4300, yjiO;Nucleoside, Lincosamide, Fluoroquinolone, Phenicol, Acridine;Multidrug;Efflux;CARD;Escherichia coli str. K-12 substr. MG1655;;U00096.3;ARO:3001214;https://www.ncbi.nlm.nih.gov/nuccore/U00096
mdtN;yjcR, sdsR;Nucleoside, Acridine;Puromycin, Acriflavine, Tetraphenylarsonium chloride;Efflux;CARD;Escherichia coli str. K-12 substr. W3110;;AP009048.1;ARO:3003548;https://www.ncbi.nlm.nih.gov/nuccore/AP009048
mdtO;yjcQ, sdsQ;Nucleoside, Acridine;Puromycin, Acriflavine, Tetraphenylarsonium chloride;Efflux;CARD;Escherichia coli str. K-12 substr. W3110;;AP009048.1;ARO:3003549;https://www.ncbi.nlm.nih.gov/nuccore/AP009048
mdtP;yjcP, sdsP;Nucleoside, Acridine;Puromycin, Acriflavine, Tetraphenylarsonium chloride;Efflux;CARD;Escherichia coli str. K-12 substr. W3110;;AP009048.1;ARO:3003550;https://www.ncbi.nlm.nih.gov/nuccore/AP009048
mecA;PBP2A;Penam;Methicillin;Replacement;CARD;Staphylococcus aureus;NG_047945.1;KC243783.1;ARO:3000617;https://www.ncbi.nlm.nih.gov/nuccore/KC243783.1
mecR1;;Penam;Methicillin;Replacement;CARD;Staphylococcus aureus subsp. aureus JH9;;CP000703.1;ARO:3000215;https://www.ncbi.nlm.nih.gov/nuccore/CP000703.1
mel;msrD, msr(D), mefA;Tetracycline, Lincosamide, Phenicol, Pleuromutilin, Oxazolidinone, Streptogramin, Macrolide;;Protection;CARD;Streptococcus pyogenes;;AF227521.1;ARO:3000616;https://www.ncbi.nlm.nih.gov/nuccore/AF227521.1
mepA;;Tetracycline, Glycylcycline;Multidrug;Efflux;CARD;Staphylococcus aureus;;AY661734.1;ARO:3000026;https://www.ncbi.nlm.nih.gov/nuccore/AY661734.1
MexA;;Peptide, Penam, Diaminopyrimidine, Sulfonamide, Fluoroquinolone, Monobactam, Phenicol, Carbapenem, Macrolide, Tetracycline, Aminocoumarin, Cephalosporin, Cephamycin, Penem;Multidrug;Efflux;CARD;Pseudomonas aeruginosa PAO1;;AE004091.2;ARO:3000377;https://www.ncbi.nlm.nih.gov/nuccore/AE004091.2
MexB;;Peptide, Penam, Diaminopyrimidine, Sulfonamide, Fluoroquinolone, Monobactam, Phenicol, Carbapenem, Macrolide, Tetracycline, Aminocoumarin, Cephalosporin, Cephamycin, Penem;Multidrug;Efflux;CARD;Pseudomonas aeruginosa;;L11616.1;ARO:3000378;https://www.ncbi.nlm.nih.gov/nuccore/L11616
MexC;;Penam, Diaminopyrimidine, Fluoroquinolone, Phenicol, Macrolide, Tetracycline, Aminocoumarin, Cephalosporin, Aminoglycoside;Multidrug;Efflux;CARD;Pseudomonas aeruginosa;;U57969.1;ARO:3000800;https://www.ncbi.nlm.nih.gov/nuccore/U57969
MexD;;Penam, Diaminopyrimidine, Fluoroquinolone, Phenicol, Macrolide, Tetracycline, Aminocoumarin, Cephalosporin, Aminoglycoside;Multidrug;Efflux;CARD;Pseudomonas aeruginosa;;U57969.1;ARO:3000801;https://www.ncbi.nlm.nih.gov/nuccore/U57969
MexE;;Diaminopyrimidine, Phenicol, Fluoroquinolone;Multidrug;Efflux;CARD;Pseudomonas aeruginosa PAO1;;AE004091.2;ARO:3000803;https://www.ncbi.nlm.nih.gov/nuccore/AE004091.2
MexF;;Diaminopyrimidine, Phenicol, Fluoroquinolone;Multidrug;Efflux;CARD;Pseudomonas aeruginosa PAO1;;AE004091.2;ARO:3000804;https://www.ncbi.nlm.nih.gov/nuccore/AE004091.2
MexJ;;Macrolide, Tetracycline, Triclosan;Multidrug;Efflux;CARD;Pseudomonas aeruginosa PAO1;;AE004091.2;ARO:3003692;https://www.ncbi.nlm.nih.gov/nuccore/AE004091.2
MexK;;Macrolide, Tetracycline, Triclosan;Multidrug;Efflux;CARD;Pseudomonas aeruginosa PAO1;;AE004091.2;ARO:3003693;https://www.ncbi.nlm.nih.gov/nuccore/AE004091.2
MexL;;Macrolide, Tetracycline, Triclosan;Multidrug;Efflux;CARD;Pseudomonas aeruginosa PAO1;;AE004091.2;ARO:3003710;https://www.ncbi.nlm.nih.gov/nuccore/AE004091.2
MexT;;Diaminopyrimidine, Phenicol, Fluoroquinolone;;Efflux;CARD;Pseudomonas aeruginosa PAO1;;AE004091.2;ARO:3000814;https://www.ncbi.nlm.nih.gov/nuccore/AE004091.2
MexW;;Tetracycline, Acridine, Macrolide, Phenicol, Fluoroquinolone;;Efflux;CARD;Pseudomonas aeruginosa PAO1;;AE004091.2;ARO:3003031;https://www.ncbi.nlm.nih.gov/nuccore/AE004091.2
MexX;amrA, mexG;Acridine, Carbapenem, Aminoglycoside, Fluoroquinolone, Macrolide, Tetracycline, Phenicol, Penam, Cephamycin, Cephalosporin;Multidrug;Efflux;CARD;Pseudomonas aeruginosa PAO1;;AB015853.1;ARO:3003034;https://www.ncbi.nlm.nih.gov/nuccore/AB015853
MexY;amrB, mexH;Acridine, Carbapenem, Aminoglycoside, Fluoroquinolone, Macrolide, Tetracycline, Phenicol, Penam, Cephamycin, Cephalosporin;;Efflux;CARD;Pseudomonas aeruginosa PAO1;;AB015853.1;ARO:3003033;https://www.ncbi.nlm.nih.gov/nuccore/AB015853
MOX-1;;Cephalosporin, Cephamycin, Penam;Beta-lactam;Inactivation;CARD;Klebsiella pneumoniae;NG_049311.1;D13304.2;ARO:3002182;https://www.ncbi.nlm.nih.gov/nuccore/D13304.2
mphA;;Macrolide;;Inactivation;CARD;Escherichia coli;;D16251.1;ARO:3000316;https://www.ncbi.nlm.nih.gov/nuccore/D16251.1
mphB;;Macrolide;;Inactivation;CARD;Escherichia coli;;D85892.1;ARO:3000318;https://www.ncbi.nlm.nih.gov/nuccore/D85892.1
mphC;;Macrolide;;Inactivation;CARD;Staphylococcus aureus;;AB013298.1;ARO:3000319;https://www.ncbi.nlm.nih.gov/nuccore/AB013298.1
mprF;;Peptide;Daptomycin;Alteration;CARD;Staphylococcus aureus;;HM140977.1;ARO:3003769;https://www.ncbi.nlm.nih.gov/nuccore/HM140977
msbA;;Nitroimidazole;Multidrug;Efflux;CARD;Escherichia coli str. K-12 substr. MG1655;;U00096.3;ARO:3003950;https://www.ncbi.nlm.nih.gov/nuccore/U00096
msrE;;Streptogramin, Phenicol, Pleuromutilin, Lincosamide, Oxazolidinone, Tetracycline, Macrolide;Erythromycin;Protection;CARD;Acinetobacter baumannii;;EU294228.1;ARO:3003109;https://www.ncbi.nlm.nih.gov/nuccore/EU294228.1
mtrA;;Macrolide, Penam;Multidrug;Efflux;CARD;Mycobacterium tuberculosis H37Rv;;AL123456.3;ARO:3000816;https://www.ncbi.nlm.nih.gov/nuccore/AL123456.3
mtrD;;Macrolide, Penam;Multidrug;Efflux;CARD;Neisseria meningitidis MC58;;AE002098.2;ARO:3000811;https://www.ncbi.nlm.nih.gov/nuccore/AE002098.2
mtrR;;Antibacterial free fatty acids, Macrolide, Penam;Multidrug;Efflux;CARD;Neisseria gonorrhoeae NCCP11945;;CP001050.1;ARO:3000817;https://www.ncbi.nlm.nih.gov/nuccore/CP001050.1
nalD;PA3574;Peptide, Penam, Diaminopyrimidine, Sulfonamide, Macrolide, Phenicol, Aminocoumarin, Tetracycline, Monobactam, Fluoroquinolone, Cephalosporin, Carbapenem, Penem, Cephamycin;Multidrug;Efflux;CARD;Pseudomonas aeruginosa PAO1;;AE004091.2;ARO:3000819;https://www.ncbi.nlm.nih.gov/nuccore/AE004091.2
NDM-1;;Penam, Carbapenem, Cephamycin, Cephalosporin;Beta-lactam;Inactivation;CARD;Klebsiella pneumoniae;NG_049326.1;FN396876.1;ARO:3000589;https://www.ncbi.nlm.nih.gov/nuccore/FN396876.1
norA;;Fluoroquinolone, Acridine;Multidrug;Efflux;CARD;Staphylococcus epidermidis;;AY566250.1;ARO:3000391;https://www.ncbi.nlm.nih.gov/nuccore/AY566250
norB;;Fluoroquinolone;Multidrug;Efflux;CARD;Listeria monocytogenes;;HE999704.1;ARO:3000421;https://www.ncbi.nlm.nih.gov/nuccore/HE999704.1
OCH-1;;Cephalosporin, Penam, Penem, Monobactam, Cephamycin;Beta-lactam;Inactivation;CARD;Ochrobactrum anthropi;NG_049344.1;AJ401618.1;ARO:3002514;https://www.ncbi.nlm.nih.gov/nuccore/AJ401618.1
oleC;;Macrolide;Oleandomycin;Efflux;CARD;Streptomyces antibioticus;;L06249.1;ARO:3003748;https://www.ncbi.nlm.nih.gov/nuccore/L06249
oleD;;Macrolide;Oleandomycin;Inactivation;CARD;Streptomyces antibioticus;NG_048021.1;DQ195536.2;ARO:3000865;https://www.ncbi.nlm.nih.gov/nuccore/DQ195536.2
OprJ;;Aminocoumarin, Phenicol, Tetracycline, Diaminopyrimidine, Penam, Macrolide, Fluoroquinolone, Cephalosporin, Aminoglycoside;Multidrug;Efflux;CARD;Pseudomonas aeruginosa;;U57969.1;ARO:3000802;https://www.ncbi.nlm.nih.gov/nuccore/U57969
OprM;;Peptide, Sulfonamide, Penam, Diaminopyrimidine, Fluoroquinolone, Carbapenem, Macrolide, Cephalosporin, Tetracycline, Phenicol, Aminocoumarin, Monobactam, Penem, Acridine, Aminoglycoside, Cephamycin;Multidrug;Efflux;CARD;Pseudomonas aeruginosa PAO1;;AE004091.2;ARO:3000379;https://www.ncbi.nlm.nih.gov/nuccore/AE004091.2
oqxA;;Tetracycline, Nitrofuran, Glycylcycline, Diaminopyrimidine, Fluoroquinolone;Multidrug;Efflux;CARD;Escherichia coli;NG_048024.1;EU370913.1;ARO:3003922;https://www.ncbi.nlm.nih.gov/nuccore/EU370913.1
otrA;;Tetracycline;Oxytetracycline;;UNIPROT/ENA;Streptomyces rimosus;;CAA37477.1;;https://www.ncbi.nlm.nih.gov/protein/CAA37477
OXA-1;OXA-30;Cephalosporin, Penam;Beta-lactam;Inactivation;CARD;Klebsiella pneumoniae;;JN420336.1;ARO:3001396;https://www.ncbi.nlm.nih.gov/nuccore/JN420336.1
OXA-10;PSE-2;Cephalosporin, Penam;Beta-lactam;Inactivation;CARD;Escherichia coli;;AF205943.1;ARO:3001405;https://www.ncbi.nlm.nih.gov/nuccore/AF205943
OXA-119;;Cephalosporin, Penam;Beta-lactam;Inactivation;CARD;uncultured bacterium;;AY139598.1;ARO:3001775;https://www.ncbi.nlm.nih.gov/nuccore/AY139598
OXA-164;;Cephalosporin, Penam;Beta-lactam;Inactivation;CARD;Acinetobacter baumannii;NG_049463.1;GU831575.1;ARO:3001662;https://www.ncbi.nlm.nih.gov/nuccore/GU831575.1
OXA-19;intI1;Cephalosporin, Penam;Beta-lactam;Inactivation;CARD;Pseudomonas aeruginosa;NG_049487.1;AF043381.1;ARO:3001414;https://www.ncbi.nlm.nih.gov/nuccore/AF043381.1
OXA-20;;Cephalosporin, Penam;Beta-lactam;Inactivation;CARD;Acinetobacter baumannii ACICU;;CP000863.1;ARO:3001415;https://www.ncbi.nlm.nih.gov/nuccore/CP000863.1
OXA-226;;Cephalosporin, Penam;Beta-lactam;Inactivation;CARD;Pseudomonas aeruginosa;NG_049522.1;FJ617207.1;ARO:3001800;https://www.ncbi.nlm.nih.gov/nuccore/FJ617207.1
OXA-278;;Cephalosporin, Penam;Beta-lactam;Inactivation;CARD;Acinetobacter schindleri;NG_049575.1;KC771279.1;ARO:3001681;https://www.ncbi.nlm.nih.gov/nuccore/KC771279.1
OXA-31;;Cephalosporin, Penam;Beta-lactam;Inactivation;CARD;Pseudomonas aeruginosa;NG_049605.1;AF294653.1;ARO:3001425;https://www.ncbi.nlm.nih.gov/nuccore/AF294653.1
OXA-347;;Cephalosporin, Penam;Beta-lactam;Inactivation;CARD;uncultured bacterium;NG_049639.1;JN086160.1;ARO:3001777;https://www.ncbi.nlm.nih.gov/nuccore/JN086160.1
OXA-363;;Cephalosporin, Penam;Beta-lactam;Inactivation;CARD;Acinetobacter lwoffii;NG_049656.1;KF460533.1;ARO:3001550;https://www.ncbi.nlm.nih.gov/nuccore/KF460533.1
OXA-37;;Cephalosporin, Penam;Beta-lactam;Inactivation;CARD;Acinetobacter baumannii;NG_049660.1;AY007784.1;ARO:3001431;https://www.ncbi.nlm.nih.gov/nuccore/AY007784.1
OXY-1-1;OXY-1-7;Cephalosporin, Penam, Monobactam;Beta-lactam;Inactivation;CARD;Klebsiella oxytoca;;Z30177.1;ARO:3002389;https://www.ncbi.nlm.nih.gov/nuccore/Z30177
patA;;Fluoroquinolone;Fluoroquinolone;Efflux;CARD;Streptococcus pneumoniae TIGR4;;AE005672.3;ARO:3000024;https://www.ncbi.nlm.nih.gov/nuccore/AE005672.3
PBP1a;;Cephalosporin, Cephamycin, Penam;Beta-lactam;Alteration;CARD;Streptococcus pneumoniae;;JN645776.1;ARO:3003041;https://www.ncbi.nlm.nih.gov/nuccore/JN645776
penA;PBP2, mrdA;Cephalosporin, Cephamycin, Penam;Beta-lactam;Alteration;CARD;Neisseria gonorrhoeae;;M32091.1;ARO:3004832;https://www.ncbi.nlm.nih.gov/nuccore/M32091.1
PER-1;;Carbapenem, Penam, Cephalosporin, Monobactam, Penem;Beta-lactam;Inactivation;CARD;Pseudomonas aeruginosa;NG_049960.1;Z21957.1;ARO:3002363;https://www.ncbi.nlm.nih.gov/nuccore/Z21957.1
phoQ;;Peptide, Macrolide;Colistin;Efflux, Alteration;CARD;Pseudomonas aeruginosa PAO1;;AE004091.2;ARO:3000835;https://www.ncbi.nlm.nih.gov/nuccore/AE004091.2
basS;pmrB;Peptide;Polymyxin;Efflux, Alteration;CARD;Pseudomonas aeruginosa;;JQ340365.1;ARO:3003583;https://www.ncbi.nlm.nih.gov/nuccore/JQ340365
eptA;PmrC;Peptide;Polymyxin;Alteration;CARD;Escherichia coli str. K-12 substr. W3110;;AP009048.1;ARO:3003576;https://www.ncbi.nlm.nih.gov/nuccore/AP009048
ugd;pmrE, ECK2023, JW2010, pagA, udg, yefA;Peptide;Polymyxin;Alteration;CARD;Escherichia coli str. K-12 substr. MG1655;;U00096.3;ARO:3003577;https://www.ncbi.nlm.nih.gov/nuccore/U00096
pncA;;Pyrazinamide;Pyrazinamide;Alteration;UNIPROT/ENA;Mycobacterium tuberculosis H37Rv;;CCP44816.1;ARO:3003394;https://www.ncbi.nlm.nih.gov/protein/CCP44816
qac;;Quaternary ammonium;;Efflux;NCBI;uncultured bacterium;NG_048036.1;AJ863570.1;;https://www.ncbi.nlm.nih.gov/nuccore/AJ863570.1
qacA;;Fluoroquinolone;Multidrug;Efflux;CARD;Staphylococcus aureus;NG_048037.1;AB566411.1;ARO:3003046;https://www.ncbi.nlm.nih.gov/nuccore/AB566411.1
qacEdelta1;;Quaternary ammonium;Ethidium bromide;Efflux;CARD;Pseudomonas aeruginosa;NG_048042.1;U49101.1;ARO:3005010;https://www.ncbi.nlm.nih.gov/nuccore/U49101.1
qacH;;Fluoroquinolone;Multidrug;Efflux;CARD;Vibrio cholerae;;DQ149925.1;ARO:3003836;https://www.ncbi.nlm.nih.gov/nuccore/DQ149925.1
QepA1;QepA;Fluoroquinolone;Fluoroquinolone;Efflux;CARD;Klebsiella aerogenes;NG_050461.1;JQ064560.1;ARO:3000448;https://www.ncbi.nlm.nih.gov/nuccore/JQ064560.1
QnrA1;;Fluoroquinolone;Fluoroquinolone;Protection;CARD;Klebsiella pneumoniae;;DQ831141.1;ARO:3002707;https://www.ncbi.nlm.nih.gov/nuccore/DQ831141
QnrB1;;Fluoroquinolone;Fluoroquinolone;Protection;CARD;Klebsiella pneumoniae;NG_050469.1;DQ351241.1;ARO:3002714;https://www.ncbi.nlm.nih.gov/nuccore/DQ351241.1
QnrC;;Fluoroquinolone;Fluoroquinolone;Protection;CARD;Proteus mirabilis;NG_048054.1;EU917444.1;ARO:3002787;https://www.ncbi.nlm.nih.gov/nuccore/EU917444.1
QnrD1;;Fluoroquinolone;Fluoroquinolone;Protection;CARD;Salmonella enterica subsp. enterica serovar Bovismorbificans;NG_050541.1;FJ228229.1;ARO:3002788;https://www.ncbi.nlm.nih.gov/nuccore/FJ228229.1
QnrS1;;Fluoroquinolone;Fluoroquinolone;Protection;CARD;Salmonella enterica subsp. enterica serovar Bovismorbificans;NG_050544.1;DQ485530.1;ARO:3002790;https://www.ncbi.nlm.nih.gov/nuccore/DQ485530.1
rmtB;;Aminoglycoside;;Alteration;CARD;Escherichia coli;;AM886293.1;ARO:3000860;https://www.ncbi.nlm.nih.gov/nuccore/AM886293.1
ROB-1;;Cephalosporin, Penam;Beta-lactam;Inactivation;CARD;Mannheimia haemolytica;;X52872.1;ARO:3002995;https://www.ncbi.nlm.nih.gov/nuccore/X52872
rosA;;Peptide;Polymyxin;Efflux;CARD;Yersinia enterocolitica (type O:8);;U46859.1;ARO:3003048;https://www.ncbi.nlm.nih.gov/nuccore/U46859.1
rosB;;Peptide;Polymyxin;Efflux;CARD;Yersinia enterocolitica (type O:8);;U46859.1;ARO:3003049;https://www.ncbi.nlm.nih.gov/nuccore/U46859.1
rrnS;;Aminoglycoside;Streptomycin;Alteration;CARD;Chlamydomonas reinhardtii;NC_005353.1;;ARO:3003978;https://www.ncbi.nlm.nih.gov/nuccore/NC_005353.1
